Name;link
A Tale of Paper;https://opencritic.com/game/10413/a-tale-of-paper
A Taste Of The Past;https://opencritic.com/game/13715/a-taste-of-the-past
A Tiny Sticker Tale;https://opencritic.com/game/15599/a-tiny-sticker-tale
A Token War;https://opencritic.com/game/11856/a-token-war
A Total War Saga: TROY;https://opencritic.com/game/9586/a-total-war-saga-troy
A Total War Saga: TROY - Mythos;https://opencritic.com/game/11929/a-total-war-saga-troy-mythos
A Total War Saga: TROY - Rhesus & Memnon;https://opencritic.com/game/12571/a-total-war-saga-troy-rhesus-memnon
A Township Tale;https://opencritic.com/game/11704/a-township-tale
A Twisted Tale;https://opencritic.com/game/16514/a-twisted-tale
A Very Bad Christmas Eve;https://opencritic.com/game/10742/a-very-bad-christmas-eve
A Void Hope;https://opencritic.com/game/16377/a-void-hope
A Walk in the Dark;https://opencritic.com/game/4407/a-walk-in-the-dark
A Way Out;https://opencritic.com/game/5413/a-way-out
A Weekend in Puzzleburg;https://opencritic.com/game/14299/a-weekend-in-puzzleburg
A Wild Time Travelling Clone Dancing;https://opencritic.com/game/10258/a-wild-time-travelling-clone-dancing
A Winding Path;https://opencritic.com/game/12041/a-winding-path
A Winter's Daydream;https://opencritic.com/game/8370/a-winters-daydream
A YEAR OF SPRINGS;https://opencritic.com/game/12556/a-year-of-springs
A-Train: All Aboard! Tourism;https://opencritic.com/game/11053/a-train-all-aboard-tourism
A.N.N.E.;https://opencritic.com/game/1610/a-n-n-e-
A.W. Phoenix Festa;https://opencritic.com/game/3062/a-w-phoenix-festa
ABC Follow Me: Food Festival;https://opencritic.com/game/14597/abc-follow-me-food-festival
ABE VR;https://opencritic.com/game/2932/abe-vr
ABRISS;https://opencritic.com/game/15469/abriss
ACA NEOGEO - Art of Fighting 3: The Path of the Warrior;https://opencritic.com/game/5138/aca-neogeo-art-of-fighting-3-the-path-of-the-warrior
ACA NEOGEO 2020 Super Baseball;https://opencritic.com/game/5568/aca-neogeo-2020-super-baseball
ACA NEOGEO ALPHA MISSION II;https://opencritic.com/game/4259/aca-neogeo-alpha-mission-ii
ACA NEOGEO Aero Fighters 3;https://opencritic.com/game/5854/aca-neogeo-aero-fighters-3
ACA NEOGEO Art of Fighting;https://opencritic.com/game/4928/aca-neogeo-art-of-fighting
ACA NEOGEO Art of Fighting 2;https://opencritic.com/game/5389/aca-neogeo-art-of-fighting-2
ACA NEOGEO BLAZING STAR;https://opencritic.com/game/4326/aca-neogeo-blazing-star
ACA NEOGEO FATAL FURY;https://opencritic.com/game/4325/aca-neogeo-fatal-fury
ACA NEOGEO Fatal Fury 3;https://opencritic.com/game/5601/aca-neogeo-fatal-fury-3
ACA NEOGEO Ghost Pilots;https://opencritic.com/game/6002/aca-neogeo-ghost-pilots
ACA NEOGEO Gururin;https://opencritic.com/game/5930/aca-neogeo-gururin
ACA NEOGEO Karnov's Revenge;https://opencritic.com/game/5223/aca-neogeo-karnovs-revenge
ACA NEOGEO King of the Monsters;https://opencritic.com/game/5369/aca-neogeo-king-of-the-monsters
ACA NEOGEO METAL SLUG;https://opencritic.com/game/3917/aca-neogeo-metal-slug
ACA NEOGEO Magical Drop III;https://opencritic.com/game/5719/aca-neogeo-magical-drop-iii
ACA NEOGEO Metal Slug 2;https://opencritic.com/game/5817/aca-neogeo-metal-slug-2
ACA NEOGEO Money Puzzle Exchanger;https://opencritic.com/game/6345/aca-neogeo-money-puzzle-exchanger
ACA NEOGEO Mutation Nation;https://opencritic.com/game/5131/aca-neogeo-mutation-nation
ACA NEOGEO NEO TURF MASTERS;https://opencritic.com/game/4260/aca-neogeo-neo-turf-masters
ACA NEOGEO OVER TOP;https://opencritic.com/game/4327/aca-neogeo-over-top
ACA NEOGEO PUZZLE BOBBLE;https://opencritic.com/game/7104/aca-neogeo-puzzle-bobble
ACA NEOGEO PUZZLE BOBBLE 2;https://opencritic.com/game/7384/aca-neogeo-puzzle-bobble-2
ACA NEOGEO Power Spikes II;https://opencritic.com/game/5442/aca-neogeo-power-spikes-ii
ACA NEOGEO Prehistoric Isle 2;https://opencritic.com/game/6503/aca-neogeo-prehistoric-isle-2
ACA NEOGEO Pulstar;https://opencritic.com/game/5364/aca-neogeo-pulstar
ACA NEOGEO Real Bout Fatal Fury;https://opencritic.com/game/5786/aca-neogeo-real-bout-fatal-fury
ACA NEOGEO Real Bout Fatal Fury Special;https://opencritic.com/game/6063/aca-neogeo-real-bout-fatal-fury-special
ACA NEOGEO Robo Army;https://opencritic.com/game/5078/aca-neogeo-robo-army
ACA NEOGEO SAMURAI SHODOWN;https://opencritic.com/game/3923/aca-neogeo-samurai-shodown
ACA NEOGEO SAMURAI SHODOWN IV;https://opencritic.com/game/4271/aca-neogeo-samurai-shodown-iv
ACA NEOGEO SENGOKU;https://opencritic.com/game/4553/aca-neogeo-sengoku
ACA NEOGEO SENGOKU 2;https://opencritic.com/game/5772/aca-neogeo-sengoku-2
ACA NEOGEO SUPER SIDEKICKS;https://opencritic.com/game/4797/aca-neogeo-super-sidekicks
ACA NEOGEO Sengoku 3;https://opencritic.com/game/5949/aca-neogeo-sengoku-3
ACA NEOGEO Soccer Brawl;https://opencritic.com/game/5266/aca-neogeo-soccer-brawl
ACA NEOGEO Spin Master;https://opencritic.com/game/4869/aca-neogeo-spin-master
ACA NEOGEO Stakes Winner;https://opencritic.com/game/6070/aca-neogeo-stakes-winner
ACA NEOGEO Street Hoop;https://opencritic.com/game/5191/aca-neogeo-street-hoop
ACA NEOGEO THE KING OF FIGHTERS '95;https://opencritic.com/game/5025/aca-neogeo-the-king-of-fighters-95
ACA NEOGEO THE KING OF FIGHTERS '96;https://opencritic.com/game/5367/aca-neogeo-the-king-of-fighters-96
